date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:25:59	114/114	---M-Z	200	added ('OK')	text/plain	date:Sun,%2022%20Oct%202023%2004:25:57%20GMT	https://www.liberaracesso.com/robots.txt		(from )
01:25:59	70868/70868	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Oct%202023%2004:25:58%20GMT	https://www.liberaracesso.com/tiger/?gclid=CjwKCAjw7c2pBhAZEiwA88pOF4wR3g6-ofvp9u4OdYL0QWflubRSLU6FablM9qzpKIVbcic4Ra85wRoCVFsQAvD_BwE	C:/Meus%20Sites/fortune%20tiger/www.liberaracesso.com/tiger/index096e.html	(from )
01:26:00	19533/19533	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Oct%202023%2017:54:29%20GMT	https://www.liberaracesso.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.23.0	C:/Meus%20Sites/fortune%20tiger/www.liberaracesso.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min192d.css	(from https://www.liberaracesso.com/tiger/?gclid=CjwKCAjw7c2pBhAZEiwA88pOF4wR3g6-ofvp9u4OdYL0QWflubRSLU6FablM9qzpKIVbcic4Ra85wRoCVFsQAvD_BwE)
01:26:00	117324/117324	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Oct%202023%2017:54:28%20GMT	https://www.liberaracesso.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.16.6	C:/Meus%20Sites/fortune%20tiger/www.liberaracesso.com/wp-content/plugins/elementor/assets/css/frontend-lite.minf92b.css	(from https://www.liberaracesso.com/tiger/?gclid=CjwKCAjw7c2pBhAZEiwA88pOF4wR3g6-ofvp9u4OdYL0QWflubRSLU6FablM9qzpKIVbcic4Ra85wRoCVFsQAvD_BwE)
01:26:00	16471/16471	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Oct%202023%2017:54:29%20GMT	https://www.liberaracesso.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Meus%20Sites/fortune%20tiger/www.liberaracesso.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://www.liberaracesso.com/tiger/?gclid=CjwKCAjw7c2pBhAZEiwA88pOF4wR3g6-ofvp9u4OdYL0QWflubRSLU6FablM9qzpKIVbcic4Ra85wRoCVFsQAvD_BwE)
01:26:00	1168/1168	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Oct%202023%2017:54:42%20GMT	https://www.liberaracesso.com/wp-content/uploads/elementor/css/post-6.css?ver=1697565282	C:/Meus%20Sites/fortune%20tiger/www.liberaracesso.com/wp-content/uploads/elementor/css/post-63d33.css	(from https://www.liberaracesso.com/tiger/?gclid=CjwKCAjw7c2pBhAZEiwA88pOF4wR3g6-ofvp9u4OdYL0QWflubRSLU6FablM9qzpKIVbcic4Ra85wRoCVFsQAvD_BwE)
01:26:00	11338/11338	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Oct%202023%2013:01:33%20GMT	https://www.liberaracesso.com/wp-content/plugins/pro-elements/assets/css/frontend-lite.min.css?ver=3.15.1	C:/Meus%20Sites/fortune%20tiger/www.liberaracesso.com/wp-content/plugins/pro-elements/assets/css/frontend-lite.min5829.css	(from https://www.liberaracesso.com/tiger/?gclid=CjwKCAjw7c2pBhAZEiwA88pOF4wR3g6-ofvp9u4OdYL0QWflubRSLU6FablM9qzpKIVbcic4Ra85wRoCVFsQAvD_BwE)
01:26:01	40207/40207	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Oct%202023%2017:56:54%20GMT	https://www.liberaracesso.com/wp-content/uploads/elementor/css/global.css?ver=1697565414	C:/Meus%20Sites/fortune%20tiger/www.liberaracesso.com/wp-content/uploads/elementor/css/globala4e9.css	(from https://www.liberaracesso.com/tiger/?gclid=CjwKCAjw7c2pBhAZEiwA88pOF4wR3g6-ofvp9u4OdYL0QWflubRSLU6FablM9qzpKIVbcic4Ra85wRoCVFsQAvD_BwE)
01:26:01	18418/18418	---M-Z	200	added ('OK')	text/css	date:Sun,%2022%20Oct%202023%2003:31:17%20GMT	https://www.liberaracesso.com/wp-content/uploads/elementor/css/post-360.css?ver=1697945477	C:/Meus%20Sites/fortune%20tiger/www.liberaracesso.com/wp-content/uploads/elementor/css/post-3601e39.css	(from https://www.liberaracesso.com/tiger/?gclid=CjwKCAjw7c2pBhAZEiwA88pOF4wR3g6-ofvp9u4OdYL0QWflubRSLU6FablM9qzpKIVbcic4Ra85wRoCVFsQAvD_BwE)
01:26:01	57912/57912	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Oct%202023%2017:54:29%20GMT	https://www.liberaracesso.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/Meus%20Sites/fortune%20tiger/www.liberaracesso.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://www.liberaracesso.com/tiger/?gclid=CjwKCAjw7c2pBhAZEiwA88pOF4wR3g6-ofvp9u4OdYL0QWflubRSLU6FablM9qzpKIVbcic4Ra85wRoCVFsQAvD_BwE)
01:26:01	677/677	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Oct%202023%2017:54:29%20GMT	https://www.liberaracesso.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.15.3	C:/Meus%20Sites/fortune%20tiger/www.liberaracesso.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min52d5.css	(from https://www.liberaracesso.com/tiger/?gclid=CjwKCAjw7c2pBhAZEiwA88pOF4wR3g6-ofvp9u4OdYL0QWflubRSLU6FablM9qzpKIVbcic4Ra85wRoCVFsQAvD_BwE)
01:26:02	675/675	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Oct%202023%2017:54:29%20GMT	https://www.liberaracesso.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.15.3	C:/Meus%20Sites/fortune%20tiger/www.liberaracesso.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min52d5.css	(from https://www.liberaracesso.com/tiger/?gclid=CjwKCAjw7c2pBhAZEiwA88pOF4wR3g6-ofvp9u4OdYL0QWflubRSLU6FablM9qzpKIVbcic4Ra85wRoCVFsQAvD_BwE)
01:26:02	669/669	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Oct%202023%2017:54:29%20GMT	https://www.liberaracesso.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	C:/Meus%20Sites/fortune%20tiger/www.liberaracesso.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://www.liberaracesso.com/tiger/?gclid=CjwKCAjw7c2pBhAZEiwA88pOF4wR3g6-ofvp9u4OdYL0QWflubRSLU6FablM9qzpKIVbcic4Ra85wRoCVFsQAvD_BwE)
01:26:02	203933/203933	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2022%20Oct%202023%2004:26:01%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Meus%20Sites/fortune%20tiger/connect.facebook.net/en_US/fbevents.js	(from https://www.liberaracesso.com/tiger/?gclid=CjwKCAjw7c2pBhAZEiwA88pOF4wR3g6-ofvp9u4OdYL0QWflubRSLU6FablM9qzpKIVbcic4Ra85wRoCVFsQAvD_BwE)
01:26:03	22019/22019	---M--	200	added ('OK')	image/jpeg	date:Sun,%2022%20Oct%202023%2003:30:37%20GMT	https://www.liberaracesso.com/wp-content/uploads/2023/10/p1-1-300x300.jpg	C:/Meus%20Sites/fortune%20tiger/www.liberaracesso.com/wp-content/uploads/2023/10/p1-1-300x300.jpg	(from https://www.liberaracesso.com/tiger/?gclid=CjwKCAjw7c2pBhAZEiwA88pOF4wR3g6-ofvp9u4OdYL0QWflubRSLU6FablM9qzpKIVbcic4Ra85wRoCVFsQAvD_BwE)
01:26:03	70868/70868	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Oct%202023%2004:26:01%20GMT	https://www.liberaracesso.com/tiger/	C:/Meus%20Sites/fortune%20tiger/www.liberaracesso.com/tiger/index.html	(from https://www.liberaracesso.com/tiger/?gclid=CjwKCAjw7c2pBhAZEiwA88pOF4wR3g6-ofvp9u4OdYL0QWflubRSLU6FablM9qzpKIVbcic4Ra85wRoCVFsQAvD_BwE)
01:26:03	10101/10101	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Oct%202023%2017:54:29%20GMT	https://www.liberaracesso.com/wp-content/plugins/elementor/assets/css/widget-icon-box.min.css	C:/Meus%20Sites/fortune%20tiger/www.liberaracesso.com/wp-content/plugins/elementor/assets/css/widget-icon-box.min.css	(from https://www.liberaracesso.com/tiger/?gclid=CjwKCAjw7c2pBhAZEiwA88pOF4wR3g6-ofvp9u4OdYL0QWflubRSLU6FablM9qzpKIVbcic4Ra85wRoCVFsQAvD_BwE)
01:26:04	9921/9921	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Oct%202023%2017:54:29%20GMT	https://www.liberaracesso.com/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	C:/Meus%20Sites/fortune%20tiger/www.liberaracesso.com/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	(from https://www.liberaracesso.com/tiger/?gclid=CjwKCAjw7c2pBhAZEiwA88pOF4wR3g6-ofvp9u4OdYL0QWflubRSLU6FablM9qzpKIVbcic4Ra85wRoCVFsQAvD_BwE)
01:26:04	124384/124384	---M--	200	added ('OK')	image/jpeg	date:Sun,%2022%20Oct%202023%2003:30:39%20GMT	https://www.liberaracesso.com/wp-content/uploads/2023/10/WhatsApp-Image-2023-08-10-at-10.56.30-PM-1.jpeg	C:/Meus%20Sites/fortune%20tiger/www.liberaracesso.com/wp-content/uploads/2023/10/WhatsApp-Image-2023-08-10-at-10.56.30-PM-1.jpg	(from https://www.liberaracesso.com/tiger/?gclid=CjwKCAjw7c2pBhAZEiwA88pOF4wR3g6-ofvp9u4OdYL0QWflubRSLU6FablM9qzpKIVbcic4Ra85wRoCVFsQAvD_BwE)
01:26:04	99634/99634	---M--	200	added ('OK')	image/jpeg	date:Sun,%2022%20Oct%202023%2003:30:40%20GMT	https://www.liberaracesso.com/wp-content/uploads/2023/10/WhatsApp-Image-2023-09-11-at-8.29.44-PM.jpeg	C:/Meus%20Sites/fortune%20tiger/www.liberaracesso.com/wp-content/uploads/2023/10/WhatsApp-Image-2023-09-11-at-8.29.44-PM.jpg	(from https://www.liberaracesso.com/tiger/?gclid=CjwKCAjw7c2pBhAZEiwA88pOF4wR3g6-ofvp9u4OdYL0QWflubRSLU6FablM9qzpKIVbcic4Ra85wRoCVFsQAvD_BwE)
01:26:04	138270/138270	---M--	200	added ('OK')	image/jpeg	date:Sun,%2022%20Oct%202023%2003:30:40%20GMT	https://www.liberaracesso.com/wp-content/uploads/2023/10/WhatsApp-Image-2023-08-10-at-10.56.39-PM-2.jpeg	C:/Meus%20Sites/fortune%20tiger/www.liberaracesso.com/wp-content/uploads/2023/10/WhatsApp-Image-2023-08-10-at-10.56.39-PM-2.jpg	(from https://www.liberaracesso.com/tiger/?gclid=CjwKCAjw7c2pBhAZEiwA88pOF4wR3g6-ofvp9u4OdYL0QWflubRSLU6FablM9qzpKIVbcic4Ra85wRoCVFsQAvD_BwE)
01:26:04	37646/37646	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Oct%202023%2003:30:41%20GMT	https://www.liberaracesso.com/wp-content/uploads/2023/10/selo-garantia-incondicional-7-dias-299x300-1.png	C:/Meus%20Sites/fortune%20tiger/www.liberaracesso.com/wp-content/uploads/2023/10/selo-garantia-incondicional-7-dias-299x300-1.png	(from https://www.liberaracesso.com/tiger/?gclid=CjwKCAjw7c2pBhAZEiwA88pOF4wR3g6-ofvp9u4OdYL0QWflubRSLU6FablM9qzpKIVbcic4Ra85wRoCVFsQAvD_BwE)
